http://schema.org,Product,David Baird | Shields (set of 9) (2020) | Available for Sale | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=640&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fme71_1EZMXpEWNEqfj9kkA%2Flarge.jpg&width=491,"Available for sale from Priscilla Fowler Fine Art, David Baird, Shields (set of 9) (2020), Mixed media on paper, 17 × 13 in",https://www.artsy.net/artwork/david-baird-shields-set-of-9,17 in,13 in,,David Baird,Painting,2020,215,USD,https://schema.org/InStock
http://schema.org,CreativeWork,Maia Mack | Lili (2017) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=480&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FRtplGzAwYYHyyziCysitcA%2Flarge.jpg&width=640,"From Priscilla Fowler Fine Art, Maia Mack, Lili (2017), Watercolor and colored sharpie pens, 9 × 12 in",https://www.artsy.net/artwork/maia-mack-lili,9 in,12 in,,Maia Mack,,,,,
http://schema.org,Product,Hayden Senter | Sink or Swim (2016) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=481&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FppIJCk_LSaH5-x4XkyT7bw%2Flarge.jpg&width=640,"From Priscilla Fowler Fine Art, Hayden Senter, Sink or Swim (2016), Graphite, 22 × 30 in",https://www.artsy.net/artwork/hayden-senter-sink-or-swim,22 in,30 in,,Hayden Senter,"Drawing, Collage or other Work on Paper",2016,400,USD,https://schema.org/OutOfStock
http://schema.org,Product,Darien Fernandez | When in Riverside (2020) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=518&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F4j0Ko5fVC0a3ZEkNuI-Pxg%2Flarge.jpg&width=640,"From Priscilla Fowler Fine Art, Darien Fernandez, When in Riverside (2020), Spray paint stencil and oil on canvas, 16 × 20 in",https://www.artsy.net/artwork/darien-fernandez-when-in-riverside,16 in,20 in,,Darien Fernandez,Painting,2020,450,USD,https://schema.org/OutOfStock
http://schema.org,CreativeWork,Maia Mack | Aniiya (2017) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=480&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FmQcxduNKNWxNjvq6N5EmDw%2Flarge.jpg&width=640,"From Priscilla Fowler Fine Art, Maia Mack, Aniiya (2017), Watercolor and colored sharpie pens, 9 × 12 in",https://www.artsy.net/artwork/maia-mack-aniiya,9 in,12 in,,Maia Mack,,,,,
http://schema.org,Product,David Baird | Reaping the Whirlwind 6 (2020) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=640&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FnfoVKmURr0RnNSVyipiohA%2Flarge.jpg&width=514,"From Priscilla Fowler Fine Art, David Baird, Reaping the Whirlwind 6 (2020), Acrylic/mixed media, 7 × 5 in",https://www.artsy.net/artwork/david-baird-reaping-the-whirlwind-6,7 in,5 in,,David Baird,Painting,2020,215,USD,https://schema.org/OutOfStock
http://schema.org,Product,"Natalie Delgado | Skarlatos' ""In Clutch"" (ca. 2021) | Artsy",https://d7hftxdivxxvm.cloudfront.net?height=485&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fx9LBdD6_Q3RJ0m4MnjCuRA%2Flarge.jpg&width=640,"From Priscilla Fowler Fine Art, Natalie Delgado, Skarlatos' ""In Clutch"" (ca. 2021), Graphite, 11 × 14 in",https://www.artsy.net/artwork/natalie-delgado-skarlatos-in-clutch,11 in,14 in,,Natalie Delgado,"Drawing, Collage or other Work on Paper",ca. 2021,0.1,USD,https://schema.org/OutOfStock
http://schema.org,Product,Wade Schuster | Hambur Cancun (2018) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=640&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FXkNvJnirAP3YR6bP5zCwAg%2Flarge.jpg&width=639,"From Priscilla Fowler Fine Art, Wade Schuster, Hambur Cancun (2018), Oil on cradled panel, 12 × 12 in",https://www.artsy.net/artwork/wade-schuster-hambur-cancun,12 in,12 in,,Wade Schuster,Painting,2018,400,USD,https://schema.org/OutOfStock
http://schema.org,Product,Frederic Bonin Pissarro | Bat Man (2019) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=640&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fseb_-5MsxheUFwT0liXrsQ%2Flarge.jpg&width=629,"From Priscilla Fowler Fine Art, Frederic Bonin Pissarro, Bat Man (2019), Mixed Media on Panel, 16 × 16 in",https://www.artsy.net/artwork/frederic-bonin-pissarro-bat-man,16 in,16 in,,Frederic Bonin Pissarro,Mixed Media,2019,525,USD,https://schema.org/OutOfStock
http://schema.org,Product,Julie Tarsha | Toward an Open Sky (2020) | Artsy,https://d7hftxdivxxvm.cloudfront.net?height=640&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FYELL3Jl4JdV5W_9JuUJT7w%2Flarge.jpg&width=515,"From Priscilla Fowler Fine Art, Julie Tarsha, Toward an Open Sky (2020), Mixed media and acrylic on canvas, 30 × 24 × 1 1/2 in",https://www.artsy.net/artwork/julie-tarsha-toward-an-open-sky,30 in,24 in,1 1/2 in,Julie Tarsha,Painting,2020,765,USD,https://schema.org/OutOfStock
